Nome,Squadra,Trend Stagionale,Ratio Gol/Pres,Presenze,Buon Investimento,Resistenza Infortuni,Infortunato,Trend,Skill Value,Punteggio Base,Nuovo Acquisto,Punteggio,Livello di confidenza
SERNICOLA LEONARDO,Cremonese,0.0,0.0,0.7,0.2,0.2,False,0.5,0.1,56,False,50.78,0.5
BAKKER MITCHEL,Atalanta,0.0,0.11,0.7,0.6,0.6,True,1,-0.7,56,False,52.14,0.5
KEBASELE CRISTIAN,Udinese,0.0,0.0,0.7,0.4,0.6,False,1,0.1,56,False,56.28,0.5
VALENTI LAUTARO,Parma,0.0,0.0,0.0,0.4,0.2,False,0.5,-0.7,55,False,43.47,0.5
BIANCHETTI MATTEO,Cremonese,0.0,0.0,0.7,0.2,0.6,False,0.5,0.1,55,False,53.59,0.5
ILIC MIHAJLO,Bologna,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,55,True,50.7,0.5
ADDO VERNON,Lecce,0.0,0.0,0.0,0.2,0.8,False,0.5,-0.35,55,True,48.36,0.5
BONFANTI GIOVANNI,Atalanta,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,55,True,46.47,0.5
CABAL JUAN,Juventus,-0.0,0.0,0.0,0.4,0.6,False,1,-0.65,55,False,47.52,0.75
JESUS JUAN,Napoli,-0.8,0.0,0.36666666666666664,0.4,0.6,False,1,-0.4,55,False,48.85,0.75
PALESTRA MARCO,Cagliari,0.0,0.11,0.7,0.4,0.6,False,0.5,0.3,55,True,57.89,0.5
VOGLIACCO ALESSANDRO,Genoa,0.0,0.0,0.36666666666666664,0.4,0.6,False,-1,-0.7,55,True,47.87,0.5
ROBERTO SERGI,Como,0.0,0.22,0.36666666666666664,0.6,0.2,False,0.5,0.7,55,False,57.42,0.5
SALAH-EDDINE ANASS,Roma,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,54,False,50.17,0.5
FOLINO FRANCESCO,Cremonese,0.0,0.0,0.7,0.4,0.6,False,0.5,0.0,54,False,54.29,0.5
NUNEZ UNAI,Verona,0.0,0.0,0.7,0.4,0.6,False,0.5,0.1,54,True,54.73,0.5
NAVEROS JACOBO RAMON,Como,0.0,0.0,0.36666666666666664,0.2,0.6,False,0.5,-0.4,54,True,48.51,0.5
BERTOLA NICOLO,Udinese,0.0,0.0,0.7,0.4,0.6,False,0.5,0.1,54,True,54.73,0.5
PALACIOS TOMAS,Inter,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.65,54,True,49.06,0.5
RENSCH DEVYNE,Roma,0.0,0.0,0.36666666666666664,0.4,0.4,False,0.5,-0.3,53,False,48.43,0.5
DE SILVESTRI LORENZO,Bologna,0.8,0.0,0.36666666666666664,0.8,0.8,False,-1,-0.4,53,False,55.5,0.75
HEGGEM TORBJOR,Bologna,0.0,0.0,0.36666666666666664,0.4,0.8,False,0.5,-0.4,53,True,51.31,0.5
COUBIS ANDREI,Milan,0.0,0.0,0.0,0.4,0.8,False,0.5,-0.7,53,True,47.41,0.5
HERMOSO MARIO,Roma,0.0,0.0,0.36666666666666664,0.6,0.6,False,0.5,-0.5,53,True,50.87,0.5
NELSSON VICTOR,Verona,0.0,0.0,0.7,0.4,0.6,False,0.5,0.1,52,True,53.68,0.5
CALABRESI ARTURO,Pisa,0.0,0.0,0.7,0.4,0.6,False,0.5,-0.4,52,False,51.45,0.5
FLORIANI MUSSOLINI ROMANO,Cremonese,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.65,52,True,48.01,0.5
VALENTINI NICOLAS,Verona,0.0,0.0,0.7,0.4,0.6,False,0.5,0.1,52,False,53.68,0.5
FRESE MARTIN,Verona,0.0,0.11,0.7,0.4,0.6,False,0.5,0.7,52,False,58.09,0.5
VEIGA DANILO,Lecce,0.0,0.0,0.0,0.2,0.6,False,0.5,0.1,51,False,46.58,0.5
PROVSTGAARD OLIVER,Lazio,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,51,False,48.6,0.5
KOUASSI CHRIST-OWEN,Lecce,0.0,0.0,0.0,0.4,0.8,False,0.5,-0.45,51,True,47.47,0.5
CECCHERINI FEDERICO,Cremonese,0.0,0.0,0.7,0.4,0.6,False,0.5,-0.2,51,False,51.82,0.5
BONIFAZI KEVIN,Bologna,0.1,0.0,0.36666666666666664,0.4,0.4,False,-1,-0.4,51,True,45.72,0.75
CUADRADO JUAN,Pisa,0.3,0.44,0.36666666666666664,0.4,0.2,False,-1,0.35,51,True,54.98,0.75
SMOLCIC IVAN,Como,0.0,0.0,0.0,0.4,0.6,False,0.5,-0.4,50,False,45.5,0.5
DO LAGO PONTES ESTEVES TOMAS,Pisa,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,50,False,48.07,0.5
BIANAY BALCOT CÔME,Torino,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,50,True,43.84,0.5
CANESTRELLI SIMONE,Pisa,0.0,0.0,0.7,0.2,0.6,False,0.5,0.1,50,False,50.96,0.5
MARCANDALLI ALESSANDRO,Genoa,0.0,0.0,0.36666666666666664,0.2,0.6,False,0.5,-0.4,50,True,46.4,0.5
MISSORI FILIPPO,Sassuolo,0.0,0.0,0.0,0.4,0.6,False,0.5,0.3,50,False,48.61,0.5
LOVIK MATHIAS,Parma,0.0,0.22,0.36666666666666664,0.4,0.6,False,0.5,0.05,49,False,53.04,0.5
TOURE ISSAK,Udinese,0.0,0.0,0.36666666666666664,0.4,0.6,False,0.5,-0.4,49,False,47.54,0.5
EBOSSE ENZO,Verona,0.0,0.0,0.7,0.4,0.6,False,0.5,0.1,48,True,51.57,0.5
ROMAGNA FILIPPO,Sassuolo,0.0,0.0,0.36666666666666664,0.6,0.6,False,0.5,-0.4,48,False,48.68,0.5
CIRCATI ALESSANDRO,Parma,0.0,0.0,0.7,0.4,0.6,False,0.5,-0.15,47,False,49.93,0.5
SIEBERT JAMIL,Lecce,0.0,0.0,0.7,0.6,0.6,False,0.5,-0.2,47,True,51.38,0.5
DI PARDO ALESSANDRO,Cagliari,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,47,True,42.26,0.5
JEAN GABY,Lecce,0.0,0.0,0.36666666666666664,0.4,0.6,True,0.5,0.1,47,False,44.71,0.5
RUS ADRIAN,Pisa,0.0,0.0,0.7,0.4,0.6,False,0.5,-0.4,46,False,48.3,0.5
LUSUARDI MATEUS,Pisa,0.0,0.0,0.7,0.4,0.8,True,0.5,-0.2,46,True,46.85,0.5
SAZONOV SABA,Torino,0.0,0.0,0.36666666666666664,0.4,0.6,False,-1,-0.7,45,False,42.6,0.5
CARACCIOLO ANTONIO,Pisa,0.0,0.0,0.36666666666666664,0.2,0.6,False,0.5,0.1,45,False,45.99,0.5
UBANI MARLON,Lecce,0.0,0.0,0.0,0.2,0.8,False,0.5,-0.4,45,True,42.87,0.5
PINTUS NICOLA,Cagliari,0.0,0.0,0.0,0.2,0.6,False,0.5,-0.4,45,False,41.2,0.5
