Nome,Punteggio,Fantamedia anno 2022-2023,Fantamedia anno 2021-2022,Fantamedia anno 2020-2021,Presenze 2022-2023,Fanta Media 2022-2023,FM su tot gare 2022-2023,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
OYONO ANTHONY,51,nd,nd,nd,0,0.00,0.00,0/10,0/1,0/2,DIF,['Panchinaro'],40,40,False,False,False,Frosinone,STABLE,0
SOPPY BRANDON,51,5.88,5.82,nd,12,5.88,1.86,0/10,0/2,0/2,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Atalanta,UP,12
TONELLI LORENZO,51,5.50,5.19,5.84,1,5.50,0.14,11/20,0/2,0,DIF,['Titolare'],40,40,False,False,False,Empoli,UP,1
OBERT ADAM,50,nd,5.88,nd,0,0.00,0.00,21/30,0/2,0/2,DIF,"['Outsider', 'Titolare', 'Giovane talento']",40,80,False,False,False,Cagliari,STABLE,0
FARES MOHAMMED,50,nd,6.61,5.69,0,0.00,0.00,0/10,0/2,0/2,DIF,"['Panchinaro', 'Falloso']",40,40,False,False,False,Lazio,STABLE,0
PONGRACIC MARIN,50,5.89,nd,nd,9,5.89,1.40,0/10,0,0,DIF,['Panchinaro'],60,40,False,False,False,Lecce,STABLE,9
DI PARDO ALESSANDRO,50,nd,nd,nd,0,0.00,0.00,11/20,0/2,0/2,DIF,['Panchinaro'],20,60,False,False,False,Cagliari,STABLE,0
TROOST-EKONG WILLIAM,50,6.25,nd,nd,8,6.25,1.32,21/30,0/1,0/1,DIF,['Titolare'],60,40,False,True,False,Salernitana,STABLE,8
BRONN DYLAN,49,5.43,nd,nd,21,5.43,3.00,21/30,0/2,0/2,DIF,['Titolare'],40,60,False,False,False,Salernitana,STABLE,21
KALAJ SERGIO,49,nd,nd,nd,0,0.00,0.00,0/10,0/2,0/1,DIF,['Panchinaro'],20,60,False,False,False,Frosinone,STABLE,0
ROMAGNOLI SIMONE,48,5.63,6.12,nd,4,5.63,0.59,21/30,0/2,0/1,DIF,['Titolare'],60,60,False,True,False,Lecce,DOWN,4
ADOPO MICHEL,48,5.75,nd,nd,4,5.75,0.61,21/30,0/3,0/2,DIF,"['Outsider', 'Titolare', 'Goleador', 'Giovane talento']",40,60,False,True,False,Atalanta,STABLE,4
CABAL JUAN,48,5.72,nd,nd,9,5.72,1.35,0/10,0/2,0/2,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Verona,STABLE,9
DOSSENA ALBERTO,48,nd,nd,nd,0,0.00,0.00,21/30,0/2,0/2,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Cagliari,STABLE,0
BUTA LEONARDO,47,nd,nd,nd,0,0.00,0.00,0/10,0/2,0/3,DIF,"['Panchinaro', 'Assistman']",40,60,False,False,False,Udinese,STABLE,0
DE WINTER KONI,47,5.62,nd,nd,13,5.62,1.92,11/20,0/3,0/1,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,True,Empoli,STABLE,13
BANI MATTIA,47,nd,5.97,5.48,0,0.00,0.00,30+,0/2,0/2,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Genoa,STABLE,0
FAZIO FEDERICO,47,5.79,5.78,6.30,12,5.79,1.83,21/30,0/2,0/2,DIF,"['Titolare', 'Buona Media']",20,60,False,False,True,Salernitana,UP,12
ZIMA DAVID,47,5.81,5.81,nd,8,5.81,1.22,11/20,0/2,0/2,DIF,"['Panchinaro', 'Buona Media']",40,80,False,False,False,Torino,UP,8
EBOSSE ENZO,46,5.54,nd,nd,14,5.54,2.04,11/20,0/1,0/2,DIF,['Panchinaro'],40,60,False,False,True,Udinese,STABLE,14
SOSA JOAQUIN,46,5.28,nd,nd,9,5.28,1.25,0/10,0,0,DIF,"['Panchinaro', 'Falloso', 'Giovane talento']",60,60,False,False,False,Bologna,STABLE,9
ALTARE GIORGIO,45,nd,6.00,nd,0,0.00,0.00,11/20,0/2,0/2,DIF,['Panchinaro'],40,80,False,False,False,Cagliari,STABLE,0
DERMAKU KASTRIOT,44,5.50,nd,5.75,1,5.50,0.14,11/20,0/2,0/1,DIF,['Panchinaro'],40,80,False,False,True,Lecce,STABLE,1
