,Giocatore,Miglioramento Stagionale,Gol/Presenze,Base Moltiplicativa,Base Additiva,Live Updates,Punteggio Goduria,Squadra
140,SABELLI STEFANO,-0.4296874999999999,0.08428571428571428,-2.3154910714285664,10.0,2,8.394336526395293,Genoa
175,BISSECK YANN AUREL,0.0,0.06999999999999999,0.0,6.0,2,8.294314381270903,Inter
146,OBERT ADAM,-0.4593749999999999,0.06999999999999999,-4.468749999999997,11.0,2,6.122355319355744,Cagliari
132,DE SCIGLIO MATTIA,0.005468749999999951,0.06999999999999999,19.89984375,0.0,-15,5.956409677452754,Juventus
60,KARSDORP RICK,-0.06796875,0.03666666666666667,18.002760416666664,3.0,-15,5.797312156404029,Roma
174,MATTURRO ALAN,0.0,0.0,0.0,0.0,2,3.076923076923077,Genoa
74,ZAPPA GABRIELE,-0.4875,0.06999999999999999,-7.402500000000001,12.0,2,2.711658790061215,Cagliari
173,VOGLIACCO ALESSANDRO,0.0,0.03666666666666667,0.0,-1.0,2,2.207357859531773,Genoa
85,HEFTI SILVAN,-0.4515624999999999,0.06999999999999999,-5.056874999999996,7.0,2,1.7860360127152481,Genoa
67,MULDUR MERT,-0.4921874999999999,0.06999999999999999,-7.942187499999994,11.0,2,1.0547041354600304,Sassuolo
139,KUMBULLA MARASH,-0.07812499999999999,0.0,11.315624999999999,5.0,-15,-2.219906763348117,Roma
164,ALTARE GIORGIO,-0.4687499999999999,0.03666666666666667,-5.943749999999995,2.0,2,-3.8557166653250374,Cagliari
147,FARES MOHAMMED,-0.37265624999999997,0.0,-3.632812499999999,-2.0,2,-3.9623823477639584,Lazio
170,GOLDANIGA EDOARDO,-0.4734374999999999,0.03666666666666667,-5.881145833333329,-1.0,2,-6.373074534877228,Cagliari
167,BARRECA ANTONIO,-0.8984374999999998,0.03666666666666667,-24.156145833333323,1.0,2,-31.296673855760073,Cagliari
171,CAPRADOSSI ELIO,-1.0156249999999998,0.0,-24.33124999999999,-2.0,-8,-49.545457126471355,Cagliari
